anchor,feature,cohort,n_conversations,n_splits,mean_cds,sample_sd,split_q025,split_q975,mean_distance_to_hsc,mean_distance_to_second_anchor
hsc_behavior_sd,sylber_final_lengthening,hai_human,296,50,49.6544923864415,1.10866665843882,47.4502065371046,51.6988471703212,0.144151581016125,0.142034668802225
hsc_behavior_sd,sylber_final_lengthening,hai_ai,296,50,41.684336503881,0.984335093527337,39.8593579808117,43.5846345557894,0.153899758085608,0.109904767569137
hsc_msc,turn_duration,hsc,34,50,51.4394452452903,18.0235793430269,16.5464409959011,83.2315483800731,0.406210506978618,0.401981710804142
hsc_msc,turn_duration,lsc,34,50,42.2944613734684,8.71145910431433,31.665727341537,62.8306189838904,0.922742554895327,0.636492024444743
hsc_msc,turn_duration,hh,77,50,45.2290262908552,5.33725166008462,36.4278280522132,53.531798583773,0.728547612466798,0.586812875911488
hsc_msc,turn_duration,hai_human,297,50,56.0415035960573,5.59822090713306,46.1376229512465,66.3030469801058,1.09574164754723,1.36585016521704
hsc_msc,turn_duration,hai_ai,297,50,50.7080976566731,0.602710411779029,49.5878021360501,51.735998221063,7.47452605666444,7.68711020068337
hsc_behavior_sd,turn_duration,hsc,34,50,88.9162902601186,5.86020677613143,78.1395412352423,97.4911670719358,0.406210506978618,3.11084670736125
hsc_behavior_sd,turn_duration,lsc,34,50,72.9947966738313,6.30647941611902,63.8850497230531,86.5705983786873,0.922742554895327,2.43109170063376
hsc_behavior_sd,turn_duration,hh,77,50,77.7128224654543,3.71350747328158,71.0473234309026,83.1556006641457,0.728547612466798,2.51487998377161
hsc_behavior_sd,turn_duration,hai_human,297,50,77.3258664249035,3.98726460160299,69.84499399411,84.1728062736274,1.09574164754723,3.69368766442591
hsc_behavior_sd,turn_duration,hai_ai,297,50,53.0737761020963,0.600620555769551,51.9566332055547,54.0973281025946,7.47452605666444,8.45145734313502
hsc_msc,signed_response_gap,hsc,34,50,42.697075074067,23.0710274427912,9.93928058679826,75.494808596392,20.7655274170833,12.5153828447311
hsc_msc,signed_response_gap,lsc,34,50,24.5385721552485,11.5769874076474,8.18611143681996,37.4688972783515,12.661504681514,2.52168878579236
hsc_msc,signed_response_gap,hh,77,50,49.9531146390568,21.5859304476666,19.0937928731443,72.0650409353495,13.3447989343129,7.71623360284799
hsc_msc,signed_response_gap,hai_human,297,50,51.6862843741435,24.1247820634461,17.3644833676146,78.008269947514,12.4195840632567,6.72735509220503
hsc_msc,signed_response_gap,hai_ai,297,50,46.5673105042575,17.4655003488549,21.3944433454284,62.0927760758439,14.9325021372579,9.01181051472066
hsc_behavior_sd,signed_response_gap,hsc,34,50,47.232793357589,23.4163802288744,13.6168788221013,79.2802334608846,20.7655274170833,15.4304434541257
hsc_behavior_sd,signed_response_gap,lsc,34,50,50.3465609319213,18.3479893200891,24.0585486449167,68.0416858725025,12.661504681514,8.96009811023399
hsc_behavior_sd,signed_response_gap,hh,77,50,22.9911934123965,12.4959694010405,5.52297564366857,38.9903165053836,13.3447989343129,1.91135742719165
hsc_behavior_sd,signed_response_gap,hai_human,297,50,35.9478452639803,19.5853023813575,8.5972054573012,61.3566130032746,12.4195840632567,3.01125167739236
hsc_behavior_sd,signed_response_gap,hai_ai,297,50,28.6252267394767,12.7555227169795,10.3078857443564,40.8874815884191,14.9325021372579,3.80521878460265
hsc_msc,floor_time_share,hsc,34,50,47.2060026074867,6.36409641452271,35.314562189036,59.6291114314587,0.0274990916269806,0.0238521482267544
