cutoff_label,metric_key,n_callers,subsamples,defined_correlations,undefined_correlations,rho_q025,rho_median,rho_q975,full_rho_same_pairs_q025,full_rho_same_pairs_median,full_rho_same_pairs_q975,rho_change_short_minus_full_q025,rho_change_short_minus_full_median,rho_change_short_minus_full_q975,pairs_median,rated_callers_median
first_2m,sylber_rate,15,2000,2000,0,0.05576267898480169,0.2741153769395116,0.4589638224733421,0.05203514490960438,0.2547330254203252,0.4531505337764651,-0.22360815170754,0.01772336193445488,0.2581335760151742,78.0,14.0
first_2m,sylber_rate,20,2000,2000,0,0.09232279002711538,0.2805262937120662,0.4368730339703653,0.08804313125894017,0.25691895706878976,0.41108891111871604,-0.18376585171213225,0.027130700729386614,0.2049679496483531,104.0,18.0
first_2m,sylber_rate,30,2000,2000,0,0.16344794742616012,0.2774371690980766,0.3912115801046102,0.14005584398127247,0.24774192560124708,0.36475891855920267,-0.11540340334375679,0.02700190828038354,0.1605826708259811,158.0,27.0
first_2m,sylber_rate,40,2000,2000,0,0.2027610433762367,0.2779359955477753,0.35255115309912355,0.17893207250223542,0.2529393341212073,0.3316446949312864,-0.06881696701360344,0.02574834097530866,0.10622436986640645,209.0,36.0
first_2m,sylber_rate,56,1,1,0,0.27798470667892883,0.27798470667892883,0.27798470667892883,0.2515284915625164,0.2515284915625164,0.2515284915625164,0.02645621511641244,0.02645621511641244,0.02645621511641244,294.0,51.0
first_3m,sylber_rate,2,2000,1901,99,-0.8783100656536799,0.2551891441368506,0.8944271909999159,-0.6831300510639732,0.29780450572490064,0.8944271909999159,-1.2001983962979579,-0.020400268691041057,0.6586208779776663,13.0,2.0
first_3m,sylber_rate,3,2000,1992,8,-0.6508140266182866,0.23252597499742533,0.7390257338298415,-0.4363372119925885,0.29275196925367464,0.8728715609439693,-0.8790415680583348,-0.046692482631573065,0.49034777315340966,15.0,3.0
first_3m,sylber_rate,5,2000,2000,0,-0.29093430656494956,0.22319803488515194,0.569504713338907,-0.1500225113876954,0.2654319175573961,0.6669111799448112,-0.5691608635228947,-0.044716669079578386,0.35883298673978203,27.0,5.0
first_3m,sylber_rate,8,2000,2000,0,-0.08546451042379456,0.2245013650897679,0.48092923324668696,-0.04212691389569069,0.2530037779857853,0.5540928563085271,-0.36548719418319847,-0.03675326815954667,0.2839561674741558,43.0,7.0
first_3m,sylber_rate,10,2000,2000,0,-0.045753150894912685,0.21914312377140255,0.4460417188610997,-0.027604433378226597,0.25696261824195604,0.5029344976151052,-0.3402591462315265,-0.03317791013089903,0.24336001211397923,54.0,9.0
first_3m,sylber_rate,15,2000,2000,0,0.027636291413484212,0.2175096848780222,0.37916697187114945,0.05203514490960438,0.2547330254203252,0.4531505337764651,-0.26321555769909516,-0.03442518508468659,0.17812797167742206,78.0,14.0
first_3m,sylber_rate,20,2000,2000,0,0.06846804896082759,0.22093869740516003,0.3672304483744604,0.08804313125894017,0.25691895706878976,0.41108891111871604,-0.21213769075854497,-0.033676554519115415,0.12803193095102117,104.0,18.0
first_3m,sylber_rate,30,2000,2000,0,0.11914677106283657,0.21731007845551994,0.31324980876096636,0.14005584398127247,0.24774192560124708,0.36475891855920267,-0.1546926159086417,-0.029269788997937626,0.09115916134840964,158.0,27.0
